cpu-bind=MASK - nlpgpu08, task  0  0 [22832]: mask 0xff000000ff set
cpu-bind=MASK - nlpgpu08, task  0  0 [22850]: mask 0xff000000ff set
Downloading shards:   0%|          | 0/4 [00:00<?, ?it/s]Downloading shards:  25%|██▌       | 1/4 [01:11<03:35, 71.88s/it]Downloading shards:  50%|█████     | 2/4 [02:31<02:33, 76.54s/it]Downloading shards:  75%|███████▌  | 3/4 [03:43<01:14, 74.52s/it]Downloading shards: 100%|██████████| 4/4 [04:07<00:00, 54.30s/it]Downloading shards: 100%|██████████| 4/4 [04:07<00:00, 61.78s/it]
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:46<02:20, 46.97s/it]Loading checkpoint shards:  50%|█████     | 2/4 [01:35<01:36, 48.17s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [02:21<00:46, 46.91s/it]Loading checkpoint shards: 100%|██████████| 4/4 [02:32<00:00, 32.59s/it]Loading checkpoint shards: 100%|██████████| 4/4 [02:32<00:00, 38.01s/it]
Setting `pad_token_id` to `eos_token_id`:None for open-end generation.
Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
=================================================
{"action": "present", "testimony": 0, "evidence": 1} 
{"action": "present", "testimony": 1, "evidence": 3} 
{"action": "present", "testimony": 2, "evidence": 4} 
{"action": "present", "testimony": 3, "evidence": 5} 
{"action": "present", "testimony": 4, "evidence": 6} 
{"action": "present", "testimony": 5, "evidence": 7} 
{"action": "present", "testimony": 6, "evidence": 8} 
{"action": "present", "testimony": 7, "evidence": 9} 
{"action": "present", "testimony": 8, "evidence": 10} 
{"action": "present", "testimony": 9, "evidence": 11} 
{"action": "present", "testimony": 10, "evidence": 12} 
{"action": "present", "testimony": 11, "evidence": 13} 
{"action": "present", "testimony": 12, "evidence": 14} 
{"action": "present", "testimony": 13, "evidence": 0} 
{"action": "present", "testimony": 14, "evidence": 1} 
{"action": "present", "testimony": 15, "evidence": 2} 
{"action": "present", "testimony": 16, "evidence": 3} 
{"action": "present", "testimony": 17, "evidence": 4} 
{"action": "present", "testimony": 18, "evidence": 5} 
{"action": "present", "testimony": 19, "evidence": 6} 
{"action": "present", "testimony": 20, "evidence": 7} 
{"action": "present", "testimony": 21, "evidence": 8} 
{"action": "present", "testimony": 22, "evidence": 9} 
{"action": "present", "testimony": 23, "evidence": 10} 
{"action": "present", "testimony": 24, "evidence": 11} 
{"action": "present", "testimony": 25, "evidence": 12} 
{"action": "present", "testimony": 26, "evidence": 13} 
{"action": "present", "testimony": 27, "evidence": 14} 
{"action": "present", "testimony": 28, "evidence": 0} 
{"action": "present", "testimony": 29, "evidence": 1} 
{"action": "present", "testimony": 30, "evidence": 2} 
{"action": "present", "testimony": 31, "evidence": 3} 
{"action": "present", "testimony": 32, "evidence": 4} 
{"action": "present", "testimony": 33, "evidence": 5} 
{"action": "present", "testimony": 34, "evidence": 6} 
{"action": "present", "testimony": 35, "evidence": 7} 
{"action": "present", "testimony": 36, "evidence": 8} 
{"action": "present", "testimony": 37, "evidence": 9} 
{"action": "present", "testimony": 38, "evidence": 10} 
{"action": "present", "testimony": 39, "evidence": 11} 
{"action": "present", "testimony": 40, "evidence": 12} 
{"action": "present", "testimony": 41, "evidence": 13} 
{"action": "present", "testimony": 42, "evidence": 14} 
{"action": "present", "testimony": 43, "evidence": 0} 
{"action": "present", "testimony": 44, "evidence": 1} 
{"action": "present", "testimony": 45, "evidence": 2} 
{"action": "present", "testimony": 46, "evidence": 3} 
{"action": "present", "testimony": 47,
JSON decode error: response is not a valid JSON object
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:01<00:03,  1.10s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:02<00:02,  1.10s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:03<00:01,  1.08s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.29it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:03<00:00,  1.12it/s]
Setting `pad_token_id` to `eos_token_id`:None for open-end generation.
=================================================
{"action": "present", "testimony": 0, "evidence": 1} 
{"action": "present", "testimony": 1, "evidence": 9} 
{"action": "present", "testimony": 2, "evidence": 5} 
{"action": "present", "testimony": 3, "evidence": 10} 
{"action": "present", "testimony": 4, "evidence": 11} 
{"action": "present", "testimony": 5, "evidence": 12} 
{"action": "present", "testimony": 0, "evidence": 13} 
{"action": "present", "testimony": 1, "evidence": 14} 
{"action": "present", "testimony": 2, "evidence": 6} 
{"action": "present", "testimony": 3, "evidence": 7} 
{"action": "present", "testimony": 4, "evidence": 8} 
{"action": "present", "testimony": 5, "evidence": 0} 
{"action": "present", "testimony": 0, "evidence": 4} 
{"action": "present", "testimony": 1, "evidence": 3} 
{"action": "present", "testimony": 2, "evidence": 1} 
{"action": "present", "testimony": 3, "evidence": 9} 
{"action": "present", "testimony": 4, "evidence": 5} 
{"action": "present", "testimony": 5, "evidence": 4} 
{"action": "present", "testimony": 0, "evidence": 2} 
{"action": "present", "testimony": 1, "evidence": 6} 
{"action": "present", "testimony": 2, "evidence": 8} 
{"action": "present", "testimony": 3, "evidence": 12} 
{"action": "present", "testimony": 4, "evidence": 13} 
{"action": "present", "testimony": 5, "evidence": 1} 
{"action": "present", "testimony": 0, "evidence": 9} 
{"action": "present", "testimony": 1, "evidence": 5} 
{"action": "present", "testimony": 2, "evidence": 3} 
{"action": "present", "testimony": 3, "evidence": 11} 
{"action": "present", "testimony": 4, "evidence": 10} 
{"action": "present", "testimony": 5, "evidence": 2} 
{"action": "present", "testimony": 0, "evidence": 7} 
{"action": "present", "testimony": 1, "evidence": 4} 
{"action": "present", "testimony": 2, "evidence": 0} 
{"action": "present", "testimony": 3, "evidence": 6} 
{"action": "present", "testimony": 4, "evidence": 8} 
{"action": "present", "testimony": 5, "evidence": 9} 
{"action": "present", "testimony": 0, "evidence": 11} 
{"action": "present", "testimony": 1, "evidence": 2} 
{"action": "present", "testimony": 2, "evidence": 10} 
{"action": "present", "testimony": 3, "evidence": 14} 
{"action": "present", "testimony": 4, "evidence": 7} 
{"action": "present", "testimony": 5, "evidence": 13} 
{"action": "present", "testimony": 0, "evidence": 8} 
{"action": "present", "testimony": 1, "evidence": 1} 
{"action": "present", "testimony": 2, "evidence": 9} 
{"action": "present", "testimony": 3, "evidence": 15} 
{"action": "present", "testimony": 4, "evidence": 16} 
{"action": "present", "testimony": 5,
JSON decode error: response is not a valid JSON object
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.28it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.28it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.30it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.79it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.57it/s]
Setting `pad_token_id` to `eos_token_id`:None for open-end generation.
=================================================
{"action": "present", "testimony": 0, "evidence": 1} 
{"action": "present", "testimony": 1, "evidence": 3} 
{"action": "present", "testimony": 2, "evidence": 4} 
{"action": "present", "testimony": 3, "evidence": 9} 
{"action": "present", "testimony": 4, "evidence": 10} 
{"action": "present", "testimony": 5, "evidence": 11} 
