testimonies evidences count
6 32 5
5 32 2
4 32 1
7 32 2
5 15 4
6 15 3
5 33 6
8 33 2
4 33 2
5 38 7
6 38 2
5 9 5
6 9 10
7 20 4
7 9 2
4 19 2
5 19 2
4 9 2
6 30 13
5 30 6
7 13 2
6 13 1
5 13 1
6 28 3
7 28 3
5 28 8
5 11 3
6 11 6
7 11 2
4 38 1
7 15 2
5 21 11
7 21 4
6 33 1
4 21 3
3 21 2
6 25 6
4 25 2
5 25 6
6 18 2
5 18 6
6 23 4
6 22 8
5 22 4
7 22 4
7 25 2
3 28 1
5 20 5
6 20 6
2 37 1
5 37 2
6 37 1
6 14 1
7 14 1
5 17 7
4 17 5
6 21 11
10 5 1
6 5 1
4 5 1
6 17 4
7 30 1
4 28 1
4 23 1
5 23 4
4 12 1
6 12 1
5 12 2
8 21 4
8 25 1
4 18 3
1 22 1
8 22 1
7 23 1
8 30 1
3 17 2
10 15 1
4 15 1
6 7 1
5 7 2
9 19 1
6 19 4
5 16 5
4 16 3
6 16 1
6 10 3
4 10 1
7 19 1
5 10 3
4 20 1
8 19 2
8 28 1
5 36 2
4 36 1
7 16 3
8 16 1
10 16 1
8 17 2
9 18 1
7 18 8
10 18 1
8 18 2
11 18 1
