testimonies evidences count
5 32 8
6 32 7
4 32 1
7 32 2
5 15 7
6 15 4
4 33 3
5 33 11
8 33 3
5 38 9
6 38 2
4 38 4
5 9 9
6 9 10
7 9 3
6 20 8
7 20 6
5 19 6
4 19 5
4 9 3
5 30 8
6 30 16
5 20 10
7 13 2
6 13 1
5 13 1
5 28 10
6 28 3
7 28 3
4 28 4
5 11 4
6 11 7
7 11 3
3 38 1
7 15 2
4 21 5
5 21 23
7 21 4
6 33 4
3 21 2
6 25 8
4 25 3
5 25 9
6 18 2
4 18 5
5 18 9
5 23 6
6 23 5
4 23 4
11 23 1
6 22 11
5 22 6
7 22 6
4 22 2
7 25 2
3 28 1
4 20 3
2 37 1
5 37 3
6 37 3
6 14 1
7 14 1
5 17 14
4 17 8
6 21 17
10 5 1
6 5 1
4 5 1
6 17 7
7 30 1
8 21 5
4 12 1
6 12 1
5 12 2
8 25 1
1 22 1
8 22 1
7 23 1
8 30 1
7 17 1
3 17 2
10 15 1
4 15 2
5 7 4
6 7 2
7 19 3
9 19 1
6 19 5
2 22 1
5 16 7
4 16 4
7 16 4
6 16 1
5 10 4
6 10 4
4 10 1
8 19 2
8 28 1
5 36 2
4 36 1
8 16 1
10 16 1
8 17 2
9 18 1
7 18 10
10 18 1
8 18 4
11 18 1
2 18 1
14 18 1
